Workflow ID,Workflow,Build Mode,Step #,Exact n8n Node,Purpose,Configuration,Why Needed / Redundant?,Priority,Notes
WF-01,Lead Intake,backend-heavy optional,2,HTTP Request - POST Lead Intake Endpoint,Forward payload to backend intake.,POST {{APP_BASE_URL}}/api/workflows/lead-intake with x-n8n-api-key. Body: incoming webhook JSON.,"Backend handles normalization, dedupe insert, lead_candidates final_lead_id, workflow_events.",Required if WF-01 webhook is used,Avoid rebuilding dedupe logic in n8n.
WF-01,Lead Intake,backend-heavy optional,3,Respond to Webhook,Return backend response.,"Return created, duplicates, errors, created_lead_ids.",Necessary for clean webhook callers.,Required if Webhook waits for response,Do not expose secrets.
WF-02,Enrichment,backend-owned for generated leads,1,No Separate n8n Build for WF-10 Leads,Do not build crawl helper nodes if using WF-10 endpoint.,runLeadDiscovery calls enrichLead() for created leads. It reuses WF-10 crawl signals and writes lead_enrichment.,Native n8n crawl nodes would duplicate backend crawler safety logic.,Recommended,Only build native WF-02 if you ingest leads outside backend.
WF-02,Enrichment,optional monitor,2,Supabase Select Unenriched Leads,Monitor backlog.,"Query leads where status='new' and website is not null. If count is growing, backend handoff failed or external imports need enrichment.","Monitoring node, not processing node.",Optional,No crawling here in backend-heavy path.
WF-03,ICP Scoring,backend-owned for generated leads,1,No Separate n8n Build for WF-10 Leads,Do not rebuild DeepSeek scoring nodes if using WF-10 endpoint.,"runLeadDiscovery calls scoreLead() after enrichment and writes lead_scores, score_evidence, automation_hypotheses.",Avoid duplicate scores and prompt drift.,Recommended,Native WF-03 only needed if backend endpoint is not used.
WF-03,ICP Scoring,optional monitor,2,Supabase Select Unscored Leads,Monitor backlog.,"Query leads where status='enriched'. If count is growing, scoring failed and workflow_events should show errors.",Monitoring node.,Optional,No DeepSeek call here in backend-heavy path.
WF-04,Routing,n8n-native currently,1,Schedule Trigger,Route scored leads periodically.,Every 30 minutes.,Needed because no app route exists for scheduled routing yet.,Required,Could later become backend endpoint.
WF-04,Routing,n8n-native currently,2,Supabase Select Scored Leads,Fetch leads to route.,Table: leads. Filter: status=eq.scored. Limit 50.,Necessary until backend route exists.,Required,Need latest lead_scores and automation_hypotheses next.
WF-04,Routing,n8n-native currently,3,Supabase Select Latest Score,Load routing score.,Table: lead_scores. Filter lead_id. Order created_at desc. Limit 1.,Necessary.,Required,"Use band, confidence, manual_review_required."
WF-04,Routing,n8n-native currently,4,Supabase Select Latest Hypothesis,Load outreach hook.,Table: automation_hypotheses. Filter lead_id. Order created_at desc. Limit 1.,Necessary.,Required,Weak/missing hook routes to review.
WF-04,Routing,n8n-native currently,5,IF Manual Review Required,Apply routing rules.,"True if Band A, confidence low, missing contact, weak hook, or manual_review_required=true.",Necessary logic node.,Required,Manual branch upserts review row.
WF-04,Routing,n8n-native currently,6,Supabase Upsert manual_review_queue,Create review item.,"Fields: lead_id, reason, priority, review_status='pending'.",Required for manual branch.,Required,Unique pending per lead prevents duplicates.
WF-04,Routing,n8n-native currently,7,Supabase Upsert outreach_queue / Update Lead,Queue eligible Band B or pause/archive C/D.,Check app_settings.global_outreach.paused before queueing. Insert outreach_queue only if allowed.,Required until backend route exists.,Required,Never queue if global outreach paused.
WF-05,Draft Generation,n8n-native currently,1,Schedule Trigger,Process due outreach queue.,Every 30 minutes.,Required.,Required,No email sends here.
WF-05,Draft Generation,n8n-native currently,2,Supabase Select Due outreach_queue,Fetch queue rows.,status='queued' and next_send_at<=now(). Limit 25.,Required.,Required,Then safety checks.
WF-05,Draft Generation,n8n-native currently,3,Supabase Load Context,"Load lead, enrichment, score, evidence, hypothesis, step.","Tables: leads, lead_enrichment, lead_scores, score_evidence, automation_hypotheses, outreach_steps.",Required context.,Required,Do not generate without evidence.
WF-05,Draft Generation,n8n-native currently,4,HTTP Request DeepSeek Draft JSON,Generate draft.,Use deepseek-chat JSON object mode. Return PRD draft schema.,Required until backend draft endpoint exists.,Required,No false claims; no send.
WF-05,Draft Generation,n8n-native currently,5,Code Validate Draft,Validate draft rules.,"Subject/body present, word limits, observation, automation idea, CTA/link rules, forbidden phrases.",Required safety gate.,Required,Invalid drafts go to send_blocks.
WF-05,Draft Generation,n8n-native currently,6,Supabase Insert email_drafts / send_blocks,Persist draft or block.,email_drafts if valid; send_blocks and blocked draft if invalid.,Required.,Required,Band A Step 1 approval_status='pending'.
WF-06,Sending Scheduler,n8n-native currently,1,Schedule Trigger,Send approved due emails.,Every 15 minutes during sending window.,Required.,Required,Keep low batch size.
WF-06,Sending Scheduler,n8n-native currently,2,Supabase Select app_settings.global_outreach,Stop if paused.,"If value.paused=true, log skipped and stop.",Required safety gate.,Required,Never send while paused.
WF-06,Sending Scheduler,n8n-native currently,3,Supabase Select Inbox Capacity,Find active inbox.,Table: inboxes. active=true and current_daily_sent<daily_send_limit.,Required.,Required,No inbox capacity means blocked.
WF-06,Sending Scheduler,n8n-native currently,4,Supabase Select Approved Draft,Find draft to send.,"email_drafts.validation_passed=true, approval_status in approved/auto_approved, sent=false.",Required.,Required,Do not send without approved draft.
WF-06,Sending Scheduler,n8n-native currently,5,Gmail Send,Send email.,To lead.email. Subject/body from email_drafts. No attachments.,Required.,Required,One email at a time.
WF-06,Sending Scheduler,n8n-native currently,6,Supabase Update Send State,Record sent and advance queue.,Insert outreach_events; mark draft sent; increment inbox; update outreach_queue next step or completed.,Required.,Required,Never follow up after reply.
WF-07,Reply Detection,n8n-native currently,1,Gmail Trigger,Detect inbound replies.,"Watch inbox, exclude sent mail/newsletter/bounce noise where possible.",Required.,Required,Backup polling optional.
WF-07,Reply Detection,n8n-native currently,2,Code Normalize Message,Extract reply metadata.,"from_email, to_email, reply_body, provider_message_id, provider_thread_id.",Required.,Required,Sanitize for logs.
WF-07,Reply Detection,n8n-native currently,3,Supabase Match Lead,"Match by provider_thread_id, provider_message_id, then leads.email.",Tables: outreach_events then leads.,Required.,Required,No match means skipped + founder notify.
WF-07,Reply Detection,n8n-native currently,4,Supabase Insert reply_events,Store inbound reply.,"Fields: lead_id, from_email, to_email, reply_body, provider ids, requires_human_review=true.",Required.,Required,"Reply body can be stored in reply_events, but redact from workflow_events."
WF-07,Reply Detection,n8n-native currently,5,HTTP Request DeepSeek Reply Classifier,Classify reply.,"Return intent_classification, sentiment, requires_human_review.",Required until backend endpoint exists.,Required,No auto reply.
WF-07,Reply Detection,n8n-native currently,6,Supabase Pause Queue + Update Lead,Stop future outreach.,Set outreach_queue.status='replied'; update leads.status based on classification.,Required.,Required,Any reply pauses future sends.
WF-07,Reply Detection,n8n-native currently,7,Founder Notification,Notify for human takeover.,"Include business name, excerpt, classification, dashboard link.",Required for interested/ambiguous replies.,Recommended,Do not auto-answer.
WF-08,Weekly Report,n8n-native currently,1,Schedule Trigger,Send weekly report.,Monday morning.,Required.,Required,Founder operating loop.
WF-08,Weekly Report,n8n-native currently,2,Supabase Metrics Queries,Collect weekly metrics.,"Queries for leads discovered/enriched/scored, bands, sends, replies, manual review, top niches/regions.",Required.,Required,Can be several Supabase nodes.
WF-08,Weekly Report,n8n-native currently,3,Code Build Report,Format concise report.,"Include blockers, performance, next actions.",Required.,Required,No sensitive raw payloads.
WF-08,Weekly Report,n8n-native currently,4,Notification,Send founder report.,Email/Slack/Telegram.,Required.,Required,Log workflow_events completed.
WF-09,Dry Run Acceptance,manual checklist,1,Manual Trigger,Run acceptance manually.,Keep global_outreach.paused=true.,Required before live unlock.,Required,Do not automate live unlock.
WF-09,Dry Run Acceptance,manual checklist,2,Checklist / Sticky Notes,Use workbook checklist.,"Validate WF-10 discovery, quotas, dedupe, crawl, WF-01, enrichment, scoring, routing, drafting, sending to internal recipient, reply detection.",Human QA is necessary.,Required,Only unpause outreach after all checks pass.
